0 [0 , 11 , 10 , 9 , 8 , 7 , 6 , 5 , 4 , 3 , 2 , 1]
e [8 , 11 , 10 , 9 , 0 , 7 , 6 , 5 , 4 , 3 , 2 , 1]
i [8 , 11 , 10 , 9 , 4 , 7 , 6 , 5 , 0 , 3 , 2 , 1]
j [8 , 11 , 10 , 9 , 4 , 7 , 6 , 5 , 3 , 0 , 2 , 1]
e [8 , 11 , 10 , 9 , 0 , 7 , 6 , 5 , 3 , 4 , 2 , 1]
i [8 , 11 , 10 , 9 , 3 , 7 , 6 , 5 , 0 , 4 , 2 , 1]
f [8 , 11 , 10 , 9 , 3 , 0 , 6 , 5 , 7 , 4 , 2 , 1]
g [8 , 11 , 10 , 9 , 3 , 6 , 0 , 5 , 7 , 4 , 2 , 1]
b [8 , 0 , 10 , 9 , 3 , 6 , 11 , 5 , 7 , 4 , 2 , 1]
a [0 , 8 , 10 , 9 , 3 , 6 , 11 , 5 , 7 , 4 , 2 , 1]
e [3 , 8 , 10 , 9 , 0 , 6 , 11 , 5 , 7 , 4 , 2 , 1]
i [3 , 8 , 10 , 9 , 7 , 6 , 11 , 5 , 0 , 4 , 2 , 1]
j [3 , 8 , 10 , 9 , 7 , 6 , 11 , 5 , 4 , 0 , 2 , 1]
e [3 , 8 , 10 , 9 , 0 , 6 , 11 , 5 , 4 , 7 , 2 , 1]
b [3 , 0 , 10 , 9 , 8 , 6 , 11 , 5 , 4 , 7 , 2 , 1]
a [0 , 3 , 10 , 9 , 8 , 6 , 11 , 5 , 4 , 7 , 2 , 1]
e [8 , 3 , 10 , 9 , 0 , 6 , 11 , 5 , 4 , 7 , 2 , 1]
i [8 , 3 , 10 , 9 , 4 , 6 , 11 , 5 , 0 , 7 , 2 , 1]
j [8 , 3 , 10 , 9 , 4 , 6 , 11 , 5 , 7 , 0 , 2 , 1]
k [8 , 3 , 10 , 9 , 4 , 6 , 11 , 5 , 7 , 2 , 0 , 1]
g [8 , 3 , 10 , 9 , 4 , 6 , 0 , 5 , 7 , 2 , 11 , 1]
